ID;Customer_Subtype;Number_of_houses;Avg_size_household;Avg_age;Customer_main_type;Roman_catholic;Protestant;Other_religion;No_religion;Married;Living_together;Other_relation;Singles;Household_without_children;Household_with_children;High_level_education;Medium_level_education;Lower_level_education;High_status;Entrepreneur;Farmer;Middle_management;Skilled_labourers;Unskilled_labourers;Social_class_A;Social_class_B1;Social_class_B2;Social_class_C;Social_class_D;Rented_house;Home_owners;One_car;Two_cars;No_car;National_Health_Service;Private_health_insurance;Income_LT_30000;Income_30_45000;Income_45_75000;Income_75_122000;Income_GT123000;Average_income;Purchasing_power_class;Contribution_private_third_party_insurance;Contribution_third_party_insurance_firms;Contribution_third_party_insurane_agriculture;Contribution_car_policies;Contribution_delivery_van_policies;Contribution_motorcycle_scooter_policies;Contribution_lorry_policies;Contribution_trailer_policies;Contribution_tractor_policies;Contribution_agricultural_machines_policies;Contribution_moped_policies;Contribution_life_insurances;Contribution_private_accident_insurance_policies;Contribution_family_accidents_insurance_policies;Contribution_disability_insurance_policies;Contribution_fire_policies;Contribution_surfboard_policies;Contribution_boat_policies;Contribution_bicycle_policies;Contribution_property_insurance_policies;Contribution_social_security_insurance_policies;Number_of_private_third_party_insurance;Number_of_third_party_insurance_firms;Number_of_third_party_insurane_agriculture;Number_of_car_policies;Number_of_delivery_van_policies;Number_of_motorcycle_scooter_policies;Number_of_lorry_policies;Number_of_trailer_policies;Number_of_tractor_policies;Number_of_agricultural_machines_policies;Number_of_moped_policies;Number_of_life_insurances;Number_of_private_accident_insurance_policies;Number_of_family_accidents_insurance_policies;Number_of_disability_insurance_policies;Number_of_fire_policies;Number_of_surfboard_policies;Number_of_boat_policies;Number_of_bicycle_policies;Number_of_property_insurance_policies;Number_of_social_security_insurance_policies;Number_of_mobile_home_policies_num
1;Lower class large families;1;3;30-40 years;Family with grown ups;0 PCT;5;1;3;7;0;2;1;2;6;1;2;7;1;0;1;2;5;2;1;1;2;6;1;1;8;8;0;1;8;1;0;4;5;0;0;4;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2;Mixed small town dwellers;1;2;30-40 years;Family with grown ups;1 - 10 PCT;4;1;4;6;2;2;0;4;5;0;5;4;0;0;0;5;0;4;0;2;3;5;0;2;7;7;1;2;6;3;2;0;5;2;0;5;4;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Mixed small town dwellers;1;2;30-40 years;Family with grown ups;0 PCT;4;2;4;3;2;4;4;4;2;0;5;4;0;0;0;7;0;2;0;5;0;4;0;7;2;7;0;2;9;0;4;5;0;0;0;3;4;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;Modern complete families;1;3;40-50 years;Average Family;11 - 23 PCT;3;2;4;5;2;2;2;3;4;3;4;2;4;0;0;3;1;2;3;2;1;4;0;5;4;9;0;0;7;2;1;5;3;0;0;4;4;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;Large family farms;1;4;30-40 years;Farmers;1 - 10 PCT;4;1;4;7;1;2;2;4;4;5;4;0;0;5;4;0;0;0;9;0;0;0;0;4;5;6;2;1;5;4;0;0;9;0;0;6;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;Young and rising;1;2;20-30 years;Living well;0 PCT;5;0;5;0;6;3;3;5;2;0;5;4;2;0;0;4;2;2;2;2;2;4;2;9;0;5;3;3;9;0;5;2;3;0;0;3;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Large religous families;2;3;30-40 years;Conservative families;11 - 23 PCT;2;0;5;7;2;0;0;3;6;0;4;5;0;0;0;4;1;5;0;1;4;5;0;6;3;8;0;1;9;0;4;3;3;0;0;3;5;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Lower class large families;1;2;40-50 years;Family with grown ups;0 PCT;7;0;2;7;2;0;0;5;4;0;3;6;2;0;0;2;5;2;2;1;2;5;2;0;9;4;4;2;6;3;2;5;3;0;0;3;3;f 0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;Lower class large families;1;2;50-60 years;Family with grown ups;0 PCT;1;3;6;6;0;3;3;3;3;0;1;8;1;1;0;1;8;1;1;1;0;8;1;9;0;5;2;3;7;2;7;2;1;0;0;2;3;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Family starters;2;3;40-50 years;Average Family;24 - 36 PCT;5;0;2;7;0;2;2;2;6;0;4;5;2;0;0;3;3;3;1;2;1;4;2;0;9;6;1;2;6;3;2;3;3;1;0;4;7;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Stable family;1;4;40-50 years;Average Family;1 - 10 PCT;4;1;4;7;1;2;0;3;6;4;3;3;0;0;0;9;0;0;3;0;6;0;0;0;9;6;2;1;5;4;0;3;2;2;2;8;7;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Modern complete families;1;3;40-50 years;Average Family;1 - 10 PCT;3;2;4;7;1;2;2;3;5;1;7;1;4;0;0;5;1;1;2;3;4;1;0;6;3;7;1;2;4;5;3;4;3;1;0;3;4;f 50 – 99;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
